video_id,label,frame_folder,split
263.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/263.mp4,train
284.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/284.mp4,train
263_284.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/263_284.mp4,train
284_263.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/284_263.mp4,train
699.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/699.mp4,train
734.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/734.mp4,train
699_734.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/699_734.mp4,train
734_699.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/734_699.mp4,train
053.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/053.mp4,train
095.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/095.mp4,train
053_095.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/053_095.mp4,train
095_053.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/095_053.mp4,train
250.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/250.mp4,train
461.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/461.mp4,train
250_461.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/250_461.mp4,train
461_250.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/461_250.mp4,train
064.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/064.mp4,train
991.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/991.mp4,train
064_991.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/064_991.mp4,train
991_064.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/991_064.mp4,train
102.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/102.mp4,train
114.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/114.mp4,train
102_114.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/102_114.mp4,train
114_102.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/114_102.mp4,train
558.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/558.mp4,train
583.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/583.mp4,train
558_583.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/558_583.mp4,train
583_558.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/583_558.mp4,train
346.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/346.mp4,train
351.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/351.mp4,train
346_351.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/346_351.mp4,train
351_346.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/351_346.mp4,train
105.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/105.mp4,train
180.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/180.mp4,train
105_180.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/105_180.mp4,train
180_105.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/180_105.mp4,train
585.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/585.mp4,train
599.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/599.mp4,train
585_599.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/585_599.mp4,train
599_585.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/599_585.mp4,train
739.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/739.mp4,train
865.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/865.mp4,train
739_865.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/739_865.mp4,train
865_739.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/865_739.mp4,train
763.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/763.mp4,train
930.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/930.mp4,train
763_930.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/763_930.mp4,train
930_763.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/930_763.mp4,train
137.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/137.mp4,train
165.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/165.mp4,train
137_165.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/137_165.mp4,train
165_137.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/165_137.mp4,train
358.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/358.mp4,train
380.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/380.mp4,train
358_380.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/358_380.mp4,train
380_358.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/380_358.mp4,train
925.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/925.mp4,train
933.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/933.mp4,train
925_933.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/925_933.mp4,train
933_925.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/933_925.mp4,train
077.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/077.mp4,train
100.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/100.mp4,train
077_100.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/077_100.mp4,train
100_077.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/100_077.mp4,train
664.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/664.mp4,train
668.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/668.mp4,train
664_668.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/664_668.mp4,train
668_664.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/668_664.mp4,train
262.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/262.mp4,train
301.mp4,real,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/real/301.mp4,train
262_301.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/262_301.mp4,train
301_262.mp4,deepfake,/kaggle/input/dataset/Extracted_Faces/Extracted_Faces/deepfake/301_262.mp4,train
